dataset,operation,2xx_code,4xx_code,operation_id,method,path,normalized_operation
Bills-api,GetAmendments,200,400|404,GetAmendments,GET,/api/v1/Bills/{billId}/Stages/{billStageId}/Amendments,getamendments
Bills-api,GetAmendment,200,400|404,GetAmendment,GET,/api/v1/Bills/{billId}/Stages/{billStageId}/Amendments/{amendmentId},getamendment
Bills-api,GetNewsArticles,200,400|404,GetNewsArticles,GET,/api/v1/Bills/{billId}/NewsArticles,getnewsarticles
Bills-api,GET /api/v1/BillTypes,200,400,,GET,/api/v1/BillTypes,get_api_v1_billtypes
Bills-api,GetBills,200,400,GetBills,GET,/api/v1/Bills,getbills
Bills-api,GetBill,200,400|404,GetBill,GET,/api/v1/Bills/{billId},getbill
Bills-api,GetBillStageDetails,200,400|404,GetBillStageDetails,GET,/api/v1/Bills/{billId}/Stages/{billStageId},getbillstagedetails
Bills-api,GET /api/v1/Bills/{billId}/Stages,200,400|404,,GET,/api/v1/Bills/{billId}/Stages,get_api_v1_bills_billid_stages
Bills-api,GET /api/v1/Publications/{publicationId}/Documents/{documentId},200,400|404,,GET,/api/v1/Publications/{publicationId}/Documents/{documentId},get_api_v1_publications_publicationid_documents_documentid
Bills-api,GET /api/v1/Publications/{publicationId}/Documents/{documentId}/Download,200,400|404,,GET,/api/v1/Publications/{publicationId}/Documents/{documentId}/Download,get_api_v1_publications_publicationid_documents_documentid_download
Bills-api,SearchPingPongItems,200,400|404,SearchPingPongItems,GET,/api/v1/Bills/{billId}/Stages/{billStageId}/PingPongItems,searchpingpongitems
Bills-api,GetPingPongItem,200,400|404,GetPingPongItem,GET,/api/v1/Bills/{billId}/Stages/{billStageId}/PingPongItems/{pingPongItemId},getpingpongitem
Bills-api,GET /api/v1/PublicationTypes,200,400,,GET,/api/v1/PublicationTypes,get_api_v1_publicationtypes
Bills-api,GetBillPublication,200,400|404,GetBillPublication,GET,/api/v1/Bills/{billId}/Publications,getbillpublication
Bills-api,GET /api/v1/Bills/{billId}/Stages/{stageId}/Publications,200,400|404,,GET,/api/v1/Bills/{billId}/Stages/{stageId}/Publications,get_api_v1_bills_billid_stages_stageid_publications
Bills-api,GET /api/v1/Rss/allbills.rss,200,,,GET,/api/v1/Rss/allbills.rss,get_api_v1_rss_allbills_rss
Bills-api,GET /api/v1/Rss/publicbills.rss,200,,,GET,/api/v1/Rss/publicbills.rss,get_api_v1_rss_publicbills_rss
Bills-api,GET /api/v1/Rss/privatebills.rss,200,,,GET,/api/v1/Rss/privatebills.rss,get_api_v1_rss_privatebills_rss
Bills-api,GET /api/v1/Rss/Bills/{id}.rss,200,400|404,,GET,/api/v1/Rss/Bills/{id}.rss,get_api_v1_rss_bills_id_rss
Bills-api,GetSittings,200,400,GetSittings,GET,/api/v1/Sittings,getsittings
Bills-api,GET /api/v1/Stages,200,400,,GET,/api/v1/Stages,get_api_v1_stages
CanadaHoliday,Holidays,200,,Holidays,GET,/api/v1/holidays,holidays
CanadaHoliday,Provinces,200,,Provinces,GET,/api/v1/provinces,provinces
CanadaHoliday,Province,200,400,Province,GET,/api/v1/provinces/{provinceId},province
CanadaHoliday,Holiday,200,400,Holiday,GET,/api/v1/holidays/{holidayId},holiday
fdic,searchInstitutions,200,400,searchInstitutions,GET,/institutions,searchinstitutions
fdic,searchLocations,200,400,searchLocations,GET,/locations,searchlocations
fdic,getHistorical,200,400,getHistorical,GET,/summary,gethistorical
fdic,getFailures,200,400,getFailures,GET,/failures,getfailures
fdic,getHistory,200,400,getHistory,GET,/history,gethistory
fdic,getFinancials,200,400,getFinancials,GET,/financials,getfinancials
Genome-nexus-local,fetchVariantAnnotationPOST,200,,fetchVariantAnnotationPOST,POST,/annotation,fetchvariantannotationpost
Genome-nexus-local,fetchVariantAnnotationByIdPOST,200,,fetchVariantAnnotationByIdPOST,POST,/annotation/dbsnp/,fetchvariantannotationbyidpost
Genome-nexus-local,fetchVariantAnnotationByIdGET,200,,fetchVariantAnnotationByIdGET,GET,/annotation/dbsnp/{variantId},fetchvariantannotationbyidget
Genome-nexus-local,fetchVariantAnnotationByGenomicLocationPOST,200,,fetchVariantAnnotationByGenomicLocationPOST,POST,/annotation/genomic,fetchvariantannotationbygenomiclocationpost
Genome-nexus-local,fetchVariantAnnotationByGenomicLocationGET,200,,fetchVariantAnnotationByGenomicLocationGET,GET,/annotation/genomic/{genomicLocation},fetchvariantannotationbygenomiclocationget
Genome-nexus-local,fetchVariantAnnotationGET,200,,fetchVariantAnnotationGET,GET,/annotation/{variant},fetchvariantannotationget
Genome-nexus-local,fetchCanonicalEnsemblGeneIdByEntrezGeneIdsPOST,200,,fetchCanonicalEnsemblGeneIdByEntrezGeneIdsPOST,POST,/ensembl/canonical-gene/entrez,fetchcanonicalensemblgeneidbyentrezgeneidspost
Genome-nexus-local,fetchCanonicalEnsemblGeneIdByEntrezGeneIdGET,200,,fetchCanonicalEnsemblGeneIdByEntrezGeneIdGET,GET,/ensembl/canonical-gene/entrez/{entrezGeneId},fetchcanonicalensemblgeneidbyentrezgeneidget
Genome-nexus-local,fetchCanonicalEnsemblGeneIdByHugoSymbolsPOST,200,,fetchCanonicalEnsemblGeneIdByHugoSymbolsPOST,POST,/ensembl/canonical-gene/hgnc,fetchcanonicalensemblgeneidbyhugosymbolspost
Genome-nexus-local,fetchCanonicalEnsemblGeneIdByHugoSymbolGET,200,,fetchCanonicalEnsemblGeneIdByHugoSymbolGET,GET,/ensembl/canonical-gene/hgnc/{hugoSymbol},fetchcanonicalensemblgeneidbyhugosymbolget
Genome-nexus-local,fetchCanonicalEnsemblTranscriptsByHugoSymbolsPOST,200,,fetchCanonicalEnsemblTranscriptsByHugoSymbolsPOST,POST,/ensembl/canonical-transcript/hgnc,fetchcanonicalensembltranscriptsbyhugosymbolspost
Genome-nexus-local,fetchCanonicalEnsemblTranscriptByHugoSymbolGET,200,,fetchCanonicalEnsemblTranscriptByHugoSymbolGET,GET,/ensembl/canonical-transcript/hgnc/{hugoSymbol},fetchcanonicalensembltranscriptbyhugosymbolget
Genome-nexus-local,fetchEnsemblTranscriptsGET,200,,fetchEnsemblTranscriptsGET,GET,/ensembl/transcript,fetchensembltranscriptsget
Genome-nexus-local,fetchEnsemblTranscriptsByEnsemblFilterPOST,200,,fetchEnsemblTranscriptsByEnsemblFilterPOST,POST,/ensembl/transcript,fetchensembltranscriptsbyensemblfilterpost
Genome-nexus-local,fetchEnsemblTranscriptByTranscriptIdGET,200,,fetchEnsemblTranscriptByTranscriptIdGET,GET,/ensembl/transcript/{transcriptId},fetchensembltranscriptbytranscriptidget
Genome-nexus-local,fetchGeneXrefsGET,200,,fetchGeneXrefsGET,GET,/ensembl/xrefs,fetchgenexrefsget
Genome-nexus-local,fetchPdbHeaderPOST,200,,fetchPdbHeaderPOST,POST,/pdb/header,fetchpdbheaderpost
Genome-nexus-local,fetchPdbHeaderGET,200,,fetchPdbHeaderGET,GET,/pdb/header/{pdbId},fetchpdbheaderget
Genome-nexus-local,fetchPfamDomainsByPfamAccessionPOST,200,,fetchPfamDomainsByPfamAccessionPOST,POST,/pfam/domain,fetchpfamdomainsbypfamaccessionpost
Genome-nexus-local,fetchPfamDomainsByAccessionGET,200,,fetchPfamDomainsByAccessionGET,GET,/pfam/domain/{pfamAccession},fetchpfamdomainsbyaccessionget
Genome-nexus-local,fetchPostTranslationalModificationsGET,200,,fetchPostTranslationalModificationsGET,GET,/ptm/experimental,fetchposttranslationalmodificationsget
Genome-nexus-local,fetchPostTranslationalModificationsByPtmFilterPOST,200,,fetchPostTranslationalModificationsByPtmFilterPOST,POST,/ptm/experimental,fetchposttranslationalmodificationsbyptmfilterpost
Genome-nexus-local,fetchVersionGET,200,,fetchVersionGET,GET,/version,fetchversionget
Genome-nexus,fetchVariantAnnotationPOST,200,,fetchVariantAnnotationPOST,POST,/annotation,fetchvariantannotationpost
Genome-nexus,fetchVariantAnnotationByIdPOST,200,,fetchVariantAnnotationByIdPOST,POST,/annotation/dbsnp/,fetchvariantannotationbyidpost
Genome-nexus,fetchVariantAnnotationByIdGET,200,,fetchVariantAnnotationByIdGET,GET,/annotation/dbsnp/{variantId},fetchvariantannotationbyidget
Genome-nexus,fetchVariantAnnotationByGenomicLocationPOST,200,,fetchVariantAnnotationByGenomicLocationPOST,POST,/annotation/genomic,fetchvariantannotationbygenomiclocationpost
Genome-nexus,fetchVariantAnnotationByGenomicLocationGET,200,,fetchVariantAnnotationByGenomicLocationGET,GET,/annotation/genomic/{genomicLocation},fetchvariantannotationbygenomiclocationget
